longitude,latitude,Industry
-72.5122,42.3717,p
-101.0601,29.4498,p
-110.8247,32.1081,p
-71.4721,43.0022,p
-120.2485,37.1067,p
-110.975,32.269,p
-100.2092,29.2347,p
-81.1155,39.757,p
-98.23,35.0847,p
-117.8563,33.8535,p
-117.9197,33.8025,p
-91.2342,41.8508,p
-149.8661,61.2221,p
-82.7886,28.1844,p
-85.7389,40.0529,p
-93.5765,41.6014,p
-78.5167,34.9756,p
-71.7433,42.4714,p
-115.4515,43.3571,p
-82.4621,34.5739,p
-103.8558,33.0294,p
-103.865,33.0139,p
-77.1099,35.1608,p
-70.2015,44.1353,p
-70.2423,44.5063,p
-70.2395,44.5063,p
-81.2086,35.6511,p
-120.5394,38.0719,p
-78.75,35.5164,p
-134.5861,57.4992,p
-96.6356,43.6035,p
-122.0925,38.2336,p
-81.6454,30.4342,p
-90.2107,38.5978,p
-159.5356,61.5807,p
-108.19200000000001,36.7251,p
-94.7665,41.4442,p
-94.1069,45.247,p
-134.101,58.3176,p
-99.3863,41.2892,p
-69.8867,44.7975,p
-79.9217,34.9687,p
-72.2344,41.4169,p
-118.2877,34.6948,p
-118.2807,34.6556,p
-118.3117,34.6869,p
-101.8433,33.865,p
-101.8357,47.3705,p
-98.0311,37.1517,p
-83.5747,41.6272,p
-109.8931,32.0603,p
-84.2956,35.1677,p
-114.9609,36.416,p
-114.97,36.39,p
-81.2667,35.5883,p
-81.2078,35.7389,p
-81.252,35.5881,p
-81.15,35.715,p
-81.1569,35.6294,p
-92.7162,45.1576,p
-88.4096,44.2539,p
-75.6578,39.9647,p
-105.0108,34.8147,p
-105.0018,39.6692,p
-80.6006,36.4611,p
-77.7036,35.3964,p
-97.1369,34.3869,p
-91.5034,44.2524,p
-84.5503,39.9861,p
-84.5513,39.9867,p
-87.1387,41.635,p
-87.4523,41.6638,p
-80.8176,41.2119,p
-81.6728,41.4739,p
-75.5406,41.485,p
-76.217,39.445,p
-76.217,39.445,p
-91.6875,41.9221,p
-90.2097,41.8206,p
-97.2863,41.4164,p
-88.8908,39.8701,p
-93.5845,41.6244,p
-96.6145,40.8665,p
-93.9924,44.1871,p
-89.6049,40.6772,p
-77.9905,33.9397,p
-87.9706,41.7165,p
-117.3833,35.765,p
-89.8697,42.7019,p
-111.9283,33.4172,p
-114.4961,32.6878,p
-100.8036,37.1106,p
-93.2351,35.311,p
-97.2429,32.6391,p
-112.8897,33.3417,p
-112.8339,33.305,p
-120.2008,45.7167,p
-76.8553,41.7619,p
-79.3517,40.638000000000005,p
-81.1756,35.7792,p
-100.1956,41.4219,p
-91.2028,45.7517,p
-118.0511,34.655,p
-118.0519,34.6506,p
-118.0611,34.6478,p
-115.9233,43.595,p
-93.7611,32.5181,p
-74.2,40.5916,p
-98.384,29.256999999999998,p
-106.1092,44.69,p
-84.4,30.4522,p
-94.5893,37.3613,p
-95.2103,29.2558,p
-72.4203,43.4011,p
-94.1083,33.6417,p
-82.5417,35.4731,p
-99.7631,37.1938,p
-80.7989,36.1261,p
-74.2063,41.949,p
-80.7612,41.89,p
-97.8961,47.1244,p
-97.9317,47.2924,p
-97.8956,47.1242,p
-111.4973,44.0786,p
-78.0121,34.7912,p
-73.8964,40.7825,p
-73.8966,40.7813,p
-73.9048,40.787,p
-73.9126,40.7877,p
-95.2422,29.9522,p
-69.6607,44.9455,p
-73.8492,42.2728,p
-83.3981,33.9625,p
-77.7952,34.897,p
-84.3892,33.7611,p
-95.0,41.409,p
-74.4408,39.3639,p
-75.029,39.5199,p
-89.6753,33.0147,p
-94.7697,45.1409,p
-119.5108,35.895,p
-119.4597,35.815,p
-95.8464,40.3883,p
-76.5939,42.9441,p
-76.5921,42.9278,p
-81.8059,28.0535,p
-91.5369,39.3092,p
-81.6219,35.3281,p
-84.3998,41.2372,p
-96.9719,37.6785,p
-96.965,37.6861,p
-77.6391,35.5997,p
-134.6446,58.3875,p
-88.2265,41.8151,p
-147.7351,64.8477,p
-97.7844,30.2934,p
-97.6217,30.3344,p
-96.4325,44.4131,p
-156.31799999999998,20.596,p
-110.9606,32.0014,p
-110.9584,32.0009,p
-79.9525,36.4237,p
-120.11,35.9897,p
-89.6894,41.7807,p
-82.0546,41.5045,p
-81.4928,27.5794,p
-111.2828,32.3717,p
-80.8547,39.7475,p
-91.185,30.2586,p
-72.61,42.5761,p
-71.7177,43.5978,p
-71.1775,42.7919,p
-82.5917,32.9808,p
-70.9975,44.9439,p
-117.9093,34.1548,p
-117.8348,33.6887,p
-74.6364,39.2908,p
-95.3755,43.6514,p
-95.39399999999999,29.002,p
-74.305,40.6972,p
-95.4253,43.6183,p
-74.6656,40.0742,p
-120.3598,42.175,p
-80.3896,34.9705,p
-84.2378,33.93,p
-74.8259,40.0985,p
-82.1783,34.8942,p
-118.2358,33.8153,p
-96.8333,28.5707,p
-88.1486,41.8108,p
-78.5985,36.3725,p
-71.2266,41.7956,p
-111.7858,43.8169,p
-81.751,26.8616,p
-76.4942,39.2997,p
-72.0936,41.5428,p
-84.08,31.3869,p
-82.9975,35.0075,p
-112.8135,33.498000000000005,p
-119.0299,35.4837,p
-97.7892,27.2231,p
-78.1397,35.7875,p
-87.1225,41.645,p
-123.7256,40.5264,p
-77.0603,36.2703,p
-118.9899,35.3176,p
-118.9686,35.4118,p
-119.0877,36.9091,p
-119.0876,36.9089,p
-122.7717,45.2694,p
-95.1867,38.7745,p
-95.19200000000001,38.7649,p
-89.8544,38.205,p
-100.7086,47.1133,p
-100.8472,36.5181,p
-72.7761,43.1269,p
-79.1739,35.4589,p
-76.22,39.436,p
-76.22,39.436,p
-76.22,39.436,p
-76.22,39.436,p
-94.2171,43.2926,p
-84.3861,33.7708,p
-87.3568,33.4587,p
-112.3656,42.7878,p
-81.6627,30.3145,p
-70.5525,43.6136,p
-105.7689,43.7219,p
-116.1213,43.56100000000001,p
-103.35,30.96,p
-70.2297,44.0867,p
-88.2211,37.0217,p
-97.3117,27.6064,p
-76.2995,36.2692,p
-70.3956,41.6597,p
-72.0781,42.3875,p
-72.109,42.361999999999995,p
-117.9832,33.8073,p
-71.8645,42.1622,p
-91.8404,45.4019,p
-156.7786,71.292,p
-88.0103,31.0069,p
-111.4995,40.1671,p
-85.0916,32.662,p
-98.3377,33.068000000000005,p
-72.184,44.7254,p
-93.09100000000001,43.393,p
-106.8219,39.3631,p
-112.5194,45.9293,p
-74.9242,42.6944,p
-97.55,30.1458,p
-78.1592,42.9828,p
-89.9275,34.3356,p
-79.8,38.2089,p
-147.725,64.8167,p
-82.8331,40.2603,p
-85.2043,42.3221,p
-77.7608,36.0586,p
-81.33,35.22,p
-84.6556,38.8608,p
-90.9306,32.2831,p
-85.5207,30.2661,p
-90.9017,46.5872,p
-83.4847,41.6883,p
-83.4847,41.6883,p
-84.7381,45.7644,p
-100.5242,32.9697,p
-82.6353,27.7581,p
-74.0915,40.6528,p
-74.1178,40.6528,p
-74.1124,40.6553,p
-95.0458,29.6225,p
-92.5997,30.2825,p
-73.7622,40.6107,p
-94.9019,29.7731,p
-75.9682,37.2717,p
-74.178,39.9094,p
-74.2212,40.6376,p
-121.9591,40.5345,p
-83.072,35.2427,p
-121.1489,38.1364,p
-78.2853,37.6956,p
-118.9266,35.4192,p
-72.9599,42.6839,p
-117.0166,33.1662,p
-116.9025,34.2506,p
-78.3772,36.2761,p
-74.7413,43.0191,p
-120.07700000000001,38.2026,p
-96.8082,40.3302,p
-77.134,35.455999999999996,p
-123.1739,46.1724,p
-99.8278,40.1303,p
-108.3136,42.8475,p
-76.8431,41.6114,p
-93.8474,36.4215,p
-131.4703,55.3798,p
-85.5244,45.7291,p
-69.35,44.4967,p
-74.6381,41.153,p
-80.3239,40.6914,p
-80.4336,40.6219,p
-80.3178,40.7441,p
-74.2425,40.5683,p
-84.4997,43.2569,p
-84.4997,43.2569,p
-75.9072,43.9767,p
-80.4925,38.0878,p
-80.4925,38.0878,p
-87.6375,41.3811,p
-98.08,43.16,p
-81.665,35.1785,p
-72.4004,42.2595,p
-121.2494,40.0074,p
-73.1762,44.0525,p
-80.0603,36.2811,p
-75.3331,43.9275,p
-75.7908,37.5486,p
-82.495,42.7756,p
-83.7179,40.4108,p
-85.9278,34.7092,p
-97.632,39.8328,p
-81.7375,39.1192,p
-90.4167,42.25,p
-123.2347,45.1122,p
-71.4833,42.0925,p
-71.7031,42.075,p
-77.4317,37.4964,p
-72.4464,43.1375,p
-86.1931,39.72,p
-98.1122,39.4578,p
-151.0356,61.1861,p
-81.5083,35.47,p
-103.26100000000001,44.0872,p
-121.3133,44.0623,p
-101.7653,31.3403,p
-74.7147,40.8256,p
-88.8054,30.8889,p
-115.4803,43.0536,p
-115.6666,43.1472,p
-75.9531,43.5317,p
-95.6028,45.3144,p
-95.6295,45.3224,p
-93.4504,43.7246,p
-77.1003,36.42,p
-87.4886,40.695,p
-69.5545,44.5802,p
-93.8579,44.7662,p
-116.6175,40.5547,p
-74.0244,40.8375,p
-122.4797,38.5108,p
-80.0294,33.1211,p
-71.0414,41.8239,p
-73.4053,42.1144,p
-72.6478,42.0476,p
-73.275,42.5867,p
-75.2172,38.3278,p
-72.6027,44.251000000000005,p
-71.1645,44.3889,p
-88.9158,43.9603,p
-74.5816,40.7027,p
-81.5409,35.8499,p
-151.3874,60.6935,p
-86.3289,41.9439,p
-119.4436,35.093,p
-119.4409,35.0898,p
-118.4949,34.3841,p
-75.1519,40.6983,p
-113.6458,37.6392,p
-161.7878,60.7897,p
-77.3811,35.7947,p
