longitude,latitude,max_distance
-97.94354002631293,29.697403986927068,2.9767596347800653
-123.24459397396035,39.53851385060155,1.677949345668457
-81.79551047169234,38.719330603925314,1.8828069892582233
-93.13407834354604,44.55199199286239,2.149217180469969
-72.73192677127048,41.97754213514749,1.4724319321889958
-151.33871785714285,59.86769999999998,3.9573981412256196
-66.37175555555554,18.173380555555557,0.928256125824729
-87.82044606879346,41.57727078091436,1.8561542037198988
-75.14310015464433,39.79411217920964,2.1618035727896694
-86.90997865999931,33.06897744008319,1.993554310813745
-102.85708755555625,39.991226622296374,2.3177322608078703
-135.01878695652172,58.281747826086956,4.8720271566875635
-95.70548168390869,44.14119188506377,2.4939145903350157
-163.06155945945943,64.01717297297297,8.986928671413644
-98.0033328666757,37.7077595866868,2.1173705520951644
-69.34323532774928,44.79807388124406,2.75553085380672
-79.6668951228778,36.28974027762482,1.626427307319929
-119.9764100118491,46.253684817603514,2.2103436894438424
-87.21820425531914,35.86522553191489,2.0914463536107433
-91.74369954982892,42.16553719016059,2.2401058320781035
-90.8706177045565,33.314448045556134,2.19907668389163
-71.23692335564127,42.5114625551923,2.5050641392813873
-145.73519032258065,63.57273548387096,6.886094310138889
-94.72388598558264,29.882126423722642,1.9291848235621694
-101.36577071052743,36.408555565805486,2.1213885739679212
-97.36517284089686,46.95247875009174,2.598139439770832
-76.76076501587315,42.78334884129528,1.4059511558523243
-76.46247859331103,39.966397159884465,1.6212960631215636
-86.6197538609148,39.32094660013786,1.922619064085064
-93.17887767415287,38.94606704501051,2.6519337087042314
-77.45689952836949,38.34513450574759,1.8467146117577498
-111.36718793103451,42.933468965517235,2.188507559503811
-99.1959470161475,41.70362400004221,2.9937322729163656
-96.51764974666419,40.88705313336826,2.1857397099368736
-97.30142643548128,32.67346596784505,1.7010251989579008
-80.5390418000233,26.286635228741538,2.0972094396109315
-122.46020881517515,43.79504410002237,2.197156546878287
-132.09695000000002,55.553095000000006,1.6371240275327426
-84.47562244659808,39.84307877673627,2.6731929831482164
-82.79775983363832,41.733018442092,1.888777091935125
-155.27552500000002,66.08478125000002,8.045211998432766
-89.47474338921607,41.50099704313364,1.586004679902444
